from,to
MaPla,SPD
MaPla,LrBr
MaPla,KK
RoPof,DB
RoPof,Br
RoPof,KK
BaPra,HSTW
BaPra,TAE
BaPra,KK
StTil,KK
StTil,LrS
StTil,CDU
GeHas,KK
GeHas,CDU
GeHas,DRK
GeHas,Br
GeHas,Bt
StKam,KK
StKam,CDU
StKam,Bt
StKam,Br
StKap,KK
StKap,BDEW
StKap,FDP
DiKem,KK
DiKem,BDI
ClNem,Tele
ClNem,KK
ClNem,MK
KaRei,KK
KaRei,VKA
KaRei,CDU
KaRei,Bt
KaRei,Br
GuRös,SeD
GuRös,EnBW
GuRös,KK
GuRös,DG
ErSch,KK
ErSch,DIHT
ErSch,Al
ErSch,FDP
AnGro,KK
AnGro,BfB
HaWod,KK
HaWod,CDU
HaWod,GZW
HaWod,StVe
HaWod,NBbg
ChHer,KK
ChHer,BüSp
ChHer,SpTu
MiKre,KK
MiKre,CDU
MiKre,La
MiKre,BüBr
RePri,KK
RePri,DG
RePri,EENRW
MiVas,KK
MiVas,IGBCE
MiVas,SPD
AnSch,KK
AnSch,Ver
AnSch,SPD
AnSch,Eon
StKör,KK
StKör,DGB
StKör,SPD
MaKai,KK
MaKai,GP
HuWei,BUND
HuWei,KK
HuWei,Br
KaNie,KK
KaNie,DNR
KaNie,ND
KaNie,UniZ
JuAll,KK
JuAll,WZB
JuAll,UniHu
JuAll,GfS
ChSch,BfA
ChSch,KK
FeMat,KK
FeMat,OeI
HaSch,KK
HaSch,IfK
HaSch,UniP
HaSch,SRC
HaSch,Br
HaSch,IPCC
AnNie,KK
AnNie,UniK
RaWeh,KK
RaWeh,FHI
RaWeh,UniHa
AnLäm,KK
AnLäm,CDU
AnLäm,Bt
AnLäm,PKM
AnLen,KK
AnLen,CDU
AnLen,Bt
MaMie,KK
MaMie,SPD
MaMie,Bt